,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
53,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,2018-06-26 16:04:46,2022-06-17 08:41:31,2022-06-17 08:41:28,107.0,6.0,1.0,2.0,,,,15.0,,4,True,3.0,,,,,,
54,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2022-05-26 11:53:26,2022-05-26 11:53:20,102.0,9.0,,1.0,,,,14.0,,4,True,3.0,,,,,,
55,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,2020-05-29 16:00:06,2022-06-15 15:20:32,2022-05-09 13:13:28,180.0,1.0,1.0,,1.0,,,9.0,2.0,4,True,3.0,,,,,,
56,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,4.0,1.0,,,8.0,2.0,4,True,3.0,,,,,,
57,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,8.0,,4,True,3.0,MIT,,,,,
58,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,2019-01-31 17:47:00,2021-11-19 11:43:03,2021-11-19 11:42:38,186.0,,,3.0,,,,6.0,2.0,4,True,3.0,,,,,,
59,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,2017-06-26 23:15:31,2022-06-08 23:01:03,2022-06-08 21:50:53,110.0,6.0,,1.0,,,,3.0,3.0,4,True,3.0,,,,,,
60,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2022-06-06 03:05:42,2022-06-06 03:05:21,427.0,9.0,,3.0,6.0,,,2.0,3.0,4,True,3.0,,,,,,
61,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,2020-09-13 16:06:40,2022-05-14 10:58:41,2022-05-14 10:58:36,108.0,12.0,,1.0,,,,,,4,True,3.0,,,,,,
62,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,1.0,1.0,2.0,,,,22.0,2.0,3,True,3.0,,,,,,
63,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,2.0,5.0,1.0,1.0,,20.0,2.0,3,True,3.0,,,,,,
64,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,6.0,,3,True,3.0,,,,,,
65,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47.0,,,3.0,,,,4.0,2.0,3,True,3.0,,,,,,
66,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,2018-12-09 14:00:32,2022-04-24 08:33:24,2022-04-24 08:32:38,137.0,3.0,,1.0,1.0,,,3.0,2.0,3,True,3.0,,,,,,
67,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,2.0,,,,3.0,,3,True,3.0,,,,,,
68,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,2017-10-30 00:35:00,2022-06-18 20:20:33,2020-06-21 18:19:00,424.0,,,2.0,124.0,1.0,1.0,2.0,4.0,3,True,3.0,CC0-1.0,2019-01-14 15:42:02,2018,1.0,12.0,0.0
69,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,2021-05-19 10:00:20,2022-06-10 07:46:23,2022-06-10 07:46:19,54.0,3.0,,1.0,,,,2.0,,3,True,3.0,,,,,,
70,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/bakke92/hwiki,2019-04-13 09:28:45,2022-06-19 20:18:21,2022-06-19 20:18:18,264.0,7.0,,2.0,,,,1.0,2.0,3,True,3.0,,,,,,
71,Stephen McAleese,https://directory.stephenmcaleese.com/,"['science', 'productivity']",smcaleese/directory,,english,https://github.com/smcaleese/directory,2019-02-13 20:50:10,2022-02-26 10:04:41,2021-02-14 21:42:32,47.0,,,,30.0,,,1.0,,3,True,3.0,,,,,,
72,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,,,,,,2.0,3,True,3.0,,,,,,
73,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30.0,,,1.0,,,,,,3,True,3.0,,,,,,
74,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,https://github.com/Nimor111/notebook,2020-12-03 21:03:34,2021-06-03 20:32:37,2021-06-03 20:31:25,43.0,,1.0,2.0,,,,7.0,2.0,2,True,3.0,,,,,,
75,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,https://github.com/nicksp/til,2017-04-23 21:55:40,2017-07-14 21:13:57,2017-07-14 21:13:51,12.0,,,2.0,,,,6.0,,2,False,3.0,,,,,,
76,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,https://github.com/tslmy/know,2019-03-03 20:52:14,2022-04-28 19:33:33,2022-04-28 19:33:32,104.0,1.0,1.0,2.0,,,,5.0,2.0,2,True,3.0,,,,,,
77,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14.0,,,2.0,,,,4.0,,2,True,3.0,,,,,,
78,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,2020-04-25 18:21:31,2022-03-26 14:23:47,2021-05-13 11:53:48,70.0,,,2.0,9.0,1.0,,4.0,2.0,2,True,3.0,,,,,,
79,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90.0,,,1.0,,,,2.0,,2,True,3.0,,,,,,
80,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50.0,,,1.0,,,,2.0,3.0,2,True,3.0,,,,,,
81,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,2020-10-02 09:34:09,2022-05-19 16:06:32,2022-05-19 16:06:17,17.0,4.0,,1.0,,,,2.0,2.0,1,True,3.0,,,,,,
82,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,,,,,,,,,,,0,True,,,,,,,
